dataset,model,level,feature_set,threshold,precision_anomalous,recall_anomalous,f1_score_anomalous,precision_normal,recall_normal,f1_score_normal
bpi_2012_poisoned.csv,IsolationForest,L3_Global,minimal,0.5,0.5125018066194537,0.3155606407322655,0.3906115993799816,0.7481463462555025,0.8713577421815408,0.805065100791076
bpi_2012_poisoned.csv,IsolationForest,L3_Global,minimal,1.0,0.5251763322884012,0.06815408085430968,0.12065085295044335,0.7091217181497825,0.9735915876648142,0.8205734595850592
bpi_2012_poisoned.csv,IsolationForest,L3_Global,minimal,1.5,0.6918884257774928,0.027434528349860158,0.05277638513554825,0.7047178295590955,0.9947640841233518,0.8249902286606374
bpi_2012_poisoned.csv,IsolationForest,L3_Global,minimal,2.0,0.32558139534883723,0.0019577930333079074,0.0038921815171925746,0.7000462313784974,0.998261959245941,0.8229713857079011
bpi_2012_poisoned.csv,IsolationForest,L3_Global,minimal,2.5,0.0,0.0,0.0,0.7,1.0,0.8235294117647058
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,minimal,0.5,0.666984801126196,0.3553775743707094,0.46369359132793125,0.7698205539087289,0.9239566307072028,0.8398752937505727
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,minimal,1.0,0.7598874353513843,0.12701500127129417,0.21764987800627397,0.7242784639352424,0.9827993897787948,0.8339636424159486
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,minimal,1.5,0.7695880699181029,0.08004068141367912,0.14500063334139404,0.7151236718513182,0.98972975918056,0.8303108837893861
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,minimal,2.0,0.8168449197860963,0.05437325197050597,0.10195956899017831,0.7105314363101446,0.9947749809305874,0.82896409567223
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,minimal,2.5,0.8076208178438662,0.03314263920671243,0.06367233294255568,0.706327324961772,0.9966165413533835,0.8267301225729472
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,minimal,0.5,0.7404541169076053,0.23962623951182305,0.36207691421107224,0.747360017571723,0.9640023972975919,0.8419687639786431
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,minimal,1.0,0.7527785560848044,0.10246631070429697,0.18037978224624301,0.719276480856326,0.9855780756238423,0.831628864936683
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,minimal,1.5,0.7711835334476844,0.057157386219171116,0.1064267960705409,0.7107149822522136,0.9927318295739348,0.8283785319724489
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,minimal,2.0,0.8144633507853403,0.03164251207729469,0.060918302413236085,0.7060668971691415,0.9969107551487414,0.8266528720260954
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,minimal,2.5,0.8883025505716798,0.012840071192473938,0.025314234870985126,0.7025622167829221,0.999308052740547,0.8250641583615045
bpi_2012_poisoned.csv,IsolationForest,L3_Global,position_based,0.5,0.5278176919622811,0.29886854818204933,0.38163961038961036,0.7466185794358173,0.88541462351531,0.8101146560319042
bpi_2012_poisoned.csv,IsolationForest,L3_Global,position_based,1.0,0.54846270508755,0.2022883295194508,0.29556430641206627,0.7309123968643326,0.928625912607606,0.817991591637711
bpi_2012_poisoned.csv,IsolationForest,L3_Global,position_based,1.5,0.5285268237297758,0.11835748792270531,0.19340431056868346,0.7164584909131795,0.9547510079546693,0.8186160583941606
bpi_2012_poisoned.csv,IsolationForest,L3_Global,position_based,2.0,0.5639155894376312,0.06488685481820493,0.11638220975704301,0.7094359448388103,0.9784951509207802,0.8225212908958092
bpi_2012_poisoned.csv,IsolationForest,L3_Global,position_based,2.5,0.631120527306968,0.034083396898042205,0.0646740965889902,0.7054529524872845,0.9914623515310014,0.8243546881936705
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,position_based,0.5,0.7464748529999429,0.3324688532926519,0.4600418667651767,0.7688562548972998,0.9516072790672333,0.8505256801702434
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,position_based,1.0,0.7852906944521421,0.18012967200610222,0.2930415809230324,0.7358625802250192,0.9788928843848752,0.8401555306677391
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,position_based,1.5,0.8044753421681512,0.09415204678362574,0.16857487537841714,0.7183569570819861,0.990192873488068,0.8326499195938919
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,position_based,2.0,0.8389455455070233,0.05542842613780829,0.10398654852904349,0.7108983163620658,0.9954396861719517,0.8294445718125132
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,position_based,2.5,0.8318245125348189,0.030371217899822018,0.05860275719962714,0.7058898383514314,0.9973684210526316,0.8266887650496311
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,position_based,0.5,0.7295762467569905,0.3217518433765573,0.4465637406263785,0.7655004175640632,0.948888525661981,0.8473859627782508
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,position_based,1.0,0.762886012715713,0.17084922451055173,0.27917653413103993,0.7333390573381742,0.9772420180887,0.837902103129
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,position_based,1.5,0.7775048066652425,0.09253750317823545,0.16539047056417713,0.7176808865755938,0.9886509752642476,0.8316505415030089
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,position_based,2.0,0.8010522213561965,0.052262903635901345,0.09812392591178155,0.7100028008153485,0.9944371799062874,0.8284869997821193
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,position_based,2.5,0.8292319164802386,0.028273582506992117,0.05468269774532222,0.7054693701400289,0.9975046311430751,0.8264471017338588
bpi_2012_poisoned.csv,IsolationForest,L3_Global,time_based_circular,0.5,0.5906613519889368,0.27692601067887107,0.3770674837068003,0.7475734618610782,0.9177508989865969,0.8239670694930551
bpi_2012_poisoned.csv,IsolationForest,L3_Global,time_based_circular,1.0,0.6084717453836875,0.1667302313755403,0.26173987666393916,0.7276289653682172,0.9540209218698921,0.8255859457879327
bpi_2012_poisoned.csv,IsolationForest,L3_Global,time_based_circular,1.5,0.5539140248281522,0.0686371726417493,0.12213964957525988,0.7098034089513692,0.9763103410700664,0.8219948485411464
bpi_2012_poisoned.csv,IsolationForest,L3_Global,time_based_circular,2.0,0.6512605042016807,0.031528095601322144,0.06014454091283892,0.7051766308554445,0.9927645199956413,0.8246155517138384
bpi_2012_poisoned.csv,IsolationForest,L3_Global,time_based_circular,2.5,0.5236406619385343,0.005631833206203915,0.01114381304555631,0.700723922342876,0.9978042933420508,0.823283748488404
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,time_based_circular,0.5,0.79409001363843,0.33309178743961354,0.4693206752944337,0.771126284330621,0.9629835458210744,0.8564416286084628
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,time_based_circular,1.0,0.8540374834529366,0.15583524027459955,0.26357605926053346,0.7320847135531194,0.9885855944208347,0.8412168192365556
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,time_based_circular,1.5,0.8318754373687893,0.060450038138825324,0.1127097752915521,0.7118533709705089,0.9947640841233518,0.8298592804028871
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,time_based_circular,2.0,0.8362622036262204,0.03811339944063056,0.07290412791051128,0.7074338302109313,0.9968017870763867,0.827551424274293
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,time_based_circular,2.5,0.8525913338997451,0.02551487414187643,0.04954699187794702,0.7050060420402854,0.9981094039446442,0.8263364201846698
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,time_based_circular,0.5,0.7867734467872114,0.3197304856343758,0.45468515538842585,0.7675842838155963,0.9628636809414841,0.8542054358176202
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,time_based_circular,1.0,0.8060687997596515,0.13643529112636665,0.23337030030225933,0.7270718320837652,0.9859322218589953,0.836943199530093
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,time_based_circular,1.5,0.785625554569654,0.05628019323671497,0.10503588587697965,0.7106659131214312,0.9934183284297701,0.8285840878881177
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,time_based_circular,2.0,0.8095547611309717,0.03166793796084414,0.06095158863183136,0.7060507944103765,0.9968072354800044,0.8266062444794346
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,time_based_circular,2.5,0.8609112709832134,0.0182557843885075,0.035753411014839157,0.7035911135676232,0.9987359703606843,0.8255778342250806
bpi_2012_poisoned.csv,IsolationForest,L3_Global,time_based_linear,0.5,0.5396921558068569,0.3057843885075006,0.39038205602622783,0.7490856124099398,0.8882259997820638,0.812743661073056
bpi_2012_poisoned.csv,IsolationForest,L3_Global,time_based_linear,1.0,0.5797153926929065,0.203534197813374,0.30128814324830394,0.7329303487464991,0.9367603792088918,0.8224039337706847
bpi_2012_poisoned.csv,IsolationForest,L3_Global,time_based_linear,1.5,0.5686852839661123,0.1152046783625731,0.19159575030392728,0.7173857430004263,0.962553121935273,0.8220797803655145
bpi_2012_poisoned.csv,IsolationForest,L3_Global,time_based_linear,2.0,0.5681228129585733,0.06398423595219933,0.1150150253087901,0.70937590046617,0.9791544077585268,0.8227137366926005
bpi_2012_poisoned.csv,IsolationForest,L3_Global,time_based_linear,2.5,0.6406457319770014,0.036829392321383166,0.06965449255848621,0.7059780035548242,0.9911463441211725,0.824603710637372
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,time_based_linear,0.5,0.7284377840992404,0.3157767607424358,0.4405679369274293,0.7640475052717876,0.9495477824997276,0.8467572472129842
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,time_based_linear,1.0,0.8198967678505592,0.16962878210017798,0.28110055406914275,0.7344038450590828,0.9840307289964041,0.8410863723787215
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,time_based_linear,1.5,0.8243278517358392,0.08029494024917366,0.14633581242325247,0.7157831050766487,0.992666448730522,0.8317879464387621
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,time_based_linear,2.0,0.8104015799868335,0.0469488939740656,0.08875590324092433,0.7090276079691666,0.9952925792742726,0.8281189438396311
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,time_based_linear,2.5,0.8213036565977743,0.032837528604118996,0.06315017419473137,0.7063287718824188,0.9969379971668301,0.8268416950033326
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,time_based_linear,0.5,0.7599714868936914,0.29818204932621406,0.42831186143549754,0.7613654538616823,0.9596382259997821,0.8490805708679922
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,time_based_linear,1.0,0.8278202527695429,0.13489702517162472,0.23199020529526224,0.7271294640350947,0.9879753732156478,0.8377167249527628
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,time_based_linear,1.5,0.8173160173160173,0.06000508517670989,0.11180197785278617,0.7116505800916447,0.9942519341832843,0.8295432591228847
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,time_based_linear,2.0,0.815661182205972,0.0340325451309433,0.0653388982451002,0.706536432383998,0.9967037158112673,0.8269033444982349
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,time_based_linear,2.5,0.8475517415446744,0.021345029239766083,0.04164134869359259,0.704168411991438,0.9983545821074425,0.8258446589252274
bpi_2012_poisoned.csv,IsolationForest,L3_Global,time_based,0.5,0.5857968620974401,0.22546402237477753,0.3256070133565888,0.7373073191764579,0.9316770186335404,0.8231740339138074
bpi_2012_poisoned.csv,IsolationForest,L3_Global,time_based,1.0,0.5986861573060307,0.128604118993135,0.2117270320332367,0.7205741470752498,0.9630543750681051,0.8243529683357312
bpi_2012_poisoned.csv,IsolationForest,L3_Global,time_based,1.5,0.5939905636950583,0.0608187134502924,0.1103397375279655,0.7093166919802003,0.9821837201699902,0.8237412208752394
bpi_2012_poisoned.csv,IsolationForest,L3_Global,time_based,2.0,0.6112121212121212,0.025642003559623698,0.04921913128355295,0.7039667825415218,0.9930096981584395,0.8238721634571919
bpi_2012_poisoned.csv,IsolationForest,L3_Global,time_based,2.5,0.6320754716981132,0.005962369692346809,0.011813304450769502,0.7009424075759778,0.998512585812357,0.8236756120252225
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,time_based,0.5,0.7371456030754445,0.27302313755403,0.39846373638606974,0.7546446071069998,0.9582761250953471,0.8443565383119782
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,time_based,1.0,0.8075454545454546,0.11292906178489702,0.19814856123131833,0.7222253184713375,0.9884657295412445,0.8346275935041634
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,time_based,1.5,0.8008658008658008,0.047037884566488684,0.0888568683957733,0.7089836167404302,0.9949874686716792,0.8279833151976786
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,time_based,2.0,0.8372183372183373,0.027396389524535977,0.05305660191545412,0.7053261229614908,0.9977171188841669,0.8264217020258774
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,time_based,2.5,0.9153963414634146,0.015268243071446733,0.03003551242935027,0.7030948146330993,0.9993952271984309,0.8254610420585562
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,time_based,0.5,0.7168495240863184,0.25085176709890666,0.3716497466709359,0.7488942106922795,0.9575351422033345,0.8404596689733007
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,time_based,1.0,0.7654676258992805,0.10144927536231885,0.17915473985519448,0.7192731605600239,0.9866786531546257,0.8320181937217876
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,time_based,1.5,0.7648335745296672,0.04031273836765828,0.0765886529961597,0.7074682043293264,0.9946878064727035,0.8268454734439327
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,time_based,2.0,0.8129770992366412,0.018954996186117467,0.03704623947126494,0.7036133750182435,0.9981311975591152,0.8253864556910697
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,time_based,2.5,0.8794642857142857,0.007513348588863463,0.014899410074118893,0.7014889419106176,0.9995586793069631,0.8244088543773086
bpi_2012_poisoned.csv,IsolationForest,L3_Global,full,0.5,0.5202349667645695,0.2139206712433257,0.30317553263366515,0.7309912771094821,0.9154516726599107,0.8128883997145587
bpi_2012_poisoned.csv,IsolationForest,L3_Global,full,1.0,0.5558378565654233,0.12237477752351894,0.2005876346662777,0.718092795713854,0.9580908793723439,0.8209102240314456
bpi_2012_poisoned.csv,IsolationForest,L3_Global,full,1.5,0.5882220723758148,0.0665395372489194,0.1195550378035131,0.7101246733148574,0.9800370491446007,0.8235288731394875
bpi_2012_poisoned.csv,IsolationForest,L3_Global,full,2.0,0.6416399110891579,0.033028222730739895,0.06282266742434318,0.7053584917354572,0.9920943663506593,0.8245085365108187
bpi_2012_poisoned.csv,IsolationForest,L3_Global,full,2.5,0.5823418910457107,0.011823035850495805,0.02317554855028222,0.7017302179944206,0.9963659147869675,0.8234870300781505
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,full,0.5,0.7176584196330459,0.2739893211289092,0.3965737733574997,0.7540240083732109,0.9538029857251825,0.8422285781640523
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,full,1.0,0.7835826680102318,0.12851512840071191,0.22081453894125228,0.7250249700159247,0.9847880570992699,0.8351742795820155
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,full,1.5,0.838150289017341,0.06636155606407322,0.12298558100084818,0.7130936196146453,0.994508009153318,0.8306121334571069
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,full,2.0,0.8585535869880918,0.037579455886092045,0.07200711301657674,0.7074320694705843,0.9973466274381606,0.8277379227080446
bpi_2012_poisoned.csv,IsolationForest,L2_Activity,full,2.5,0.8564718162839249,0.02086193745232647,0.04073173153296267,0.7040962948164313,0.9985016890051215,0.8258453801506903
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,full,0.5,0.6767925561029009,0.25151284007119246,0.3667371074778482,0.7472785962020535,0.9485234826195924,0.835959933542693
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,full,1.0,0.7459998391895152,0.11795067378591406,0.2036949625124867,0.722208653803806,0.9827884929715593,0.8325859733258251
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,full,1.5,0.7860389020178149,0.05497076023391813,0.1027554330390561,0.7104157008792399,0.99358722894192,0.8284727159565599
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,full,2.0,0.820619335347432,0.027625222476481057,0.05345107492497663,0.7053114597460239,0.9974120082815735,0.8263069520551036
bpi_2012_poisoned.csv,IsolationForest,L1_Micro,full,2.5,0.8481116584564861,0.013132468853292651,0.025864443275995894,0.702558030822049,0.9989920453307181,0.8249535456062917
bpi_2012_poisoned.csv,LOF,L3_Global,minimal,0.5,0.35873633460912224,0.21567505720823799,0.26939047724908893,0.7129250054674304,0.8347717118884167,0.7690519991266135
bpi_2012_poisoned.csv,LOF,L3_Global,minimal,1.0,0.3639520294126229,0.1585685227561658,0.22089594531173903,0.7096157136652204,0.8812356979405034,0.7861685813512075
bpi_2012_poisoned.csv,LOF,L3_Global,minimal,1.5,0.37238410332044486,0.11876430205949656,0.18009195446615323,0.7076583738555035,0.9142148850386836,0.7977834462133873
