dataset,model,level,feature_set,threshold_value_mean,separation_score,predicted_anomaly_rate_mean,predicted_anomaly_rate_std,precision_anomalous_mean,precision_anomalous_std,recall_anomalous_mean,recall_anomalous_std,f1_score_anomalous_mean,f1_score_anomalous_std,precision_normal_mean,precision_normal_std,recall_normal_mean,recall_normal_std,f1_score_normal_mean,f1_score_normal_std
BPI_Challenge_2012,DBSCAN,L1_Micro,cum_z_cum_t,,0.0,5.374639080482931,0.15250159525593648,0.16703944035050897,0.00725632200096205,0.08902443085979397,0.005026526331820676,0.11611991447899432,0.005778195642728922,0.9028754311131635,0.0017306868209267653,0.9502089368396331,0.0014460150363135972,0.9259363282702905,0.001100663253039516
BPI_Challenge_2012,DBSCAN,L1_Micro,delta_cyclical,,0.0,9.344810142771207,0.21457907221513647,0.45884558012358534,0.010980650171468058,0.42505841215140655,0.013719384485777293,0.44124303808002735,0.011280976124110186,0.9360195619246708,0.0017874601366809815,0.9437584904824888,0.0016294807662457873,0.939871589538203,0.0011640586159252465
BPI_Challenge_2012,DBSCAN,L1_Micro,delta_t,,0.0,2.3444949174650223,0.10858927253606171,0.14059607257187134,0.010290807302574324,0.03275725120903886,0.003762479621634532,0.05311158930719888,0.00561496624750992,0.9000767743529436,0.001705207132497437,0.9775973326520548,0.0008990311485461598,0.9372355516191708,0.0008225228291583125
BPI_Challenge_2012,DBSCAN,L1_Micro,delta_z_micro,,0.0,2.467086597317366,0.10867970832513456,0.1411181479939572,0.010202426697805278,0.03459480226661203,0.003872049651919871,0.05554584867988906,0.00572774427916942,0.9001415891932101,0.001684561961188014,0.9764404371925239,0.0008796970749712503,0.9367387423603762,0.0008461093323847733
BPI_Challenge_2012,DBSCAN,L1_Micro,omni_fusion_cyclical,,0.0,8.009448236066557,0.2951366169904828,0.4306367901725334,0.008943989504333403,0.34189362046376964,0.013374511137782895,0.3810447184243696,0.009967887107769587,0.9278296306697605,0.0017208824374018378,0.9492796845973736,0.0020482544410743496,0.9384295752728875,0.0009621227379140953
BPI_Challenge_2012,DBSCAN,L1_Micro,pure_cyclical,,0.0,9.759410477687354,0.1449218686017065,0.4958638328800221,0.00846991362779788,0.4797184939340716,0.009265923160963157,0.48762162868338665,0.007735310064889559,0.9418369695526148,0.0012943916131169435,0.9452822905113972,0.0010405592236150704,0.9435556451072094,0.0007069011868651918
BPI_Challenge_2012,DBSCAN,L2_Activity,cum_z_cum_t,,0.0,1.639588100686499,0.2601541317221744,0.16379693084834046,0.009426156122259265,0.02653435616690649,0.004580254778993035,0.04554537776624508,0.007020751407350192,0.899829235312461,0.0012641269117033827,0.9847461683336872,0.002410526160950892,0.9403731779868215,0.0014099158787677952
BPI_Challenge_2012,DBSCAN,L2_Activity,delta_cyclical,,0.0,2.1647597254004576,0.16309222869764664,0.21787535730372037,0.020476400282081475,0.04670636923634512,0.006771045788205058,0.07686356131657011,0.010281137191827446,0.9013778959655909,0.0014049140271268328,0.9811739158718508,0.001311185860928182,0.9395839002791119,0.0009960785070879587
BPI_Challenge_2012,DBSCAN,L2_Activity,delta_t,,0.0,0.15484363081617086,0.02268467635209302,0.12140436530552054,0.05937033441374225,0.0018086440009106944,0.0008162994291899093,0.0035630976634501233,0.0016087274784577213,0.8988115591522426,0.0012864760116203286,0.9984807542397134,0.00027505819447199104,0.9460278408599188,0.0007672858957526705
BPI_Challenge_2012,DBSCAN,L2_Activity,delta_z_micro,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPI_Challenge_2012,DBSCAN,L2_Activity,omni_fusion_cyclical,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
